Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
77,0,-0.007065,0.042139,1.444015,2234.763428,-3121.445068,1007.070679,-0.010238,-0.113306,-1.659241,2450.214355,-933.512756,1027.635254
78,0,-0.002623,0.036416,1.445869,2233.029297,-3122.333496,1006.678101,-0.010503,-0.113298,-1.659877,2450.717041,-932.788513,1028.042236
79,0,-0.003314,0.041033,1.441929,2231.864502,-3123.301758,1006.715393,-0.009290,-0.112765,-1.660127,2451.066406,-932.122559,1028.373657
80,0,-0.005628,0.040289,1.441651,2230.296143,-3124.231934,1006.552002,-0.013395,-0.112338,-1.658929,2451.561279,-931.524048,1028.864990
81,0,-0.007744,0.039572,1.444016,2228.694092,-3124.912598,1006.319397,-0.011571,-0.111747,-1.658441,2452.141602,-930.832886,1029.151245
82,0,-0.002078,0.036909,1.436822,2227.412109,-3126.079102,1006.483093,-0.010167,-0.110578,-1.658330,2452.616211,-930.216675,1029.404541
83,0,-0.007529,0.035978,1.441610,2225.659424,-3126.488770,1006.317139,-0.008100,-0.108779,-1.657616,2453.134521,-929.670105,1029.652710
84,0,-0.005425,0.027841,1.439764,2223.812988,-3127.379883,1006.072876,-0.003040,-0.107916,-1.658095,2453.650146,-929.084412,1029.749268
85,0,-0.007890,0.027263,1.440745,2222.434326,-3128.154541,1006.254578,-0.006301,-0.107329,-1.656780,2454.204102,-928.562134,1030.019043
86,0,-0.010401,0.024636,1.442354,2220.443848,-3128.603027,1005.776550,-0.007747,-0.106135,-1.656335,2454.692871,-927.983154,1030.075806
87,0,-0.006843,0.017903,1.439075,2218.915283,-3129.892334,1006.037720,-0.008359,-0.105528,-1.656609,2455.240479,-927.439941,1030.198730
88,0,-0.014669,0.023143,1.440033,2217.604004,-3130.187744,1006.008362,-0.008698,-0.105756,-1.656953,2455.788574,-926.931396,1030.322144
89,0,-0.010286,0.024067,1.439289,2215.809570,-3130.808350,1005.794983,-0.009063,-0.105378,-1.656853,2456.334961,-926.451599,1030.503174
90,0,-0.001470,0.019889,1.434562,2214.472900,-3131.918701,1005.933533,-0.002444,-0.105245,-1.658206,2456.930176,-926.050293,1030.664185
91,0,0.000757,0.021585,1.438568,2212.723389,-3132.424316,1005.699646,-0.006137,-0.104689,-1.657689,2457.444336,-925.742981,1030.926392
92,0,0.003430,0.018964,1.440578,2211.155029,-3133.087158,1005.555969,-0.005263,-0.103171,-1.657326,2458.006348,-925.420105,1031.105835
93,0,0.045466,0.014158,1.444522,2209.492920,-3133.428223,1004.638916,-0.006449,-0.102212,-1.656909,2458.652100,-924.940918,1031.169922
94,0,0.043652,0.018815,1.444436,2207.727295,-3134.223877,1004.383301,-0.005725,-0.102555,-1.657344,2459.265625,-924.609375,1031.330933
95,0,0.036412,0.016843,1.453289,2206.469482,-3134.577637,1004.661926,-0.004189,-0.102916,-1.657641,2459.928223,-924.375244,1031.557983
96,0,0.019734,0.016941,1.442718,2204.604492,-3135.752930,1004.820129,0.000022,-0.103610,-1.659537,2460.438232,-924.112854,1031.556396
97,0,0.027614,0.017405,1.439272,2203.362305,-3136.635254,1004.905945,0.001131,-0.103346,-1.659292,2461.186768,-923.840820,1031.734985
98,0,0.032973,0.018128,1.438999,2201.563965,-3137.193848,1004.530640,-0.000595,-0.103374,-1.659129,2461.855713,-923.551208,1031.803833
99,0,0.026686,0.023652,1.444477,2199.991211,-3137.670654,1004.396301,0.000673,-0.103656,-1.658916,2462.314453,-923.340332,1031.844360
100,0,0.032624,0.021771,1.443101,2198.496826,-3138.503906,1004.448059,-0.005036,-0.103587,-1.657571,2463.040283,-923.100281,1032.068848
101,0,0.032884,0.023275,1.444488,2196.883545,-3139.099121,1004.339600,-0.005388,-0.103922,-1.658151,2463.670166,-922.957397,1032.095947
102,0,0.034874,0.026081,1.443946,2195.395508,-3139.881104,1004.260193,-0.005675,-0.104372,-1.658513,2464.359375,-922.832886,1032.085449
103,0,0.036917,0.026181,1.445144,2193.830566,-3140.742676,1004.215942,-0.006688,-0.104401,-1.659197,2465.056885,-922.713318,1032.086060
104,0,0.042361,0.029206,1.441915,2191.978027,-3141.660156,1003.837097,-0.006301,-0.104238,-1.659039,2465.730713,-922.638794,1032.081421
105,0,0.038671,0.027419,1.449234,2190.313721,-3142.194336,1003.620605,-0.005531,-0.104409,-1.659058,2466.415527,-922.559753,1032.093384
106,0,0.039249,0.037911,1.450351,2188.821777,-3143.179688,1003.611206,-0.005032,-0.104710,-1.659063,2467.145508,-922.540039,1032.089111
107,0,0.041953,0.026571,1.449368,2187.319336,-3144.109131,1003.642456,-0.000149,-0.104493,-1.659618,2467.853027,-922.550049,1031.949585
108,0,0.043135,0.025184,1.450907,2185.254150,-3144.917236,1003.106689,-0.003980,-0.104044,-1.658871,2468.568359,-922.648254,1031.999512
109,0,0.040185,0.030785,1.450565,2183.671143,-3145.697510,1002.858154,-0.003450,-0.104585,-1.658709,2469.213623,-922.677185,1031.894775
110,0,0.044934,0.024446,1.451499,2182.024658,-3146.601074,1002.604126,-0.003682,-0.103876,-1.659040,2469.942139,-922.789062,1031.748291
111,0,0.043566,0.026894,1.451557,2180.626953,-3147.651611,1002.576721,-0.003631,-0.104304,-1.659904,2470.686523,-922.949646,1031.614258
112,0,0.047965,0.025412,1.453867,2179.321533,-3148.529541,1002.465149,-0.005464,-0.104513,-1.660636,2471.491455,-923.096619,1031.395020
113,0,0.052978,0.017989,1.452037,2177.492920,-3149.838867,1002.060669,-0.007736,-0.104171,-1.660312,2472.137451,-923.101746,1031.105591
114,0,0.047154,0.031712,1.456380,2176.533936,-3150.717041,1002.251160,-0.008087,-0.104999,-1.660802,2472.879883,-923.253540,1030.915771
115,0,0.049961,0.029781,1.457109,2174.944092,-3151.647461,1001.868713,-0.007697,-0.106333,-1.660994,2473.626953,-923.454956,1030.656860
