Objects
100
,,Global Angle drone_agi:drone_agi,,,,,,Global Angle drone_leader:drone_leader,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
114,0,-0.017545,0.065589,-1.545346,794.114014,-1676.128174,1283.799438,0.032296,-0.033635,1.558839,812.113892,-3468.824463,1213.986938
115,0,-0.033783,0.057155,-1.549064,792.661560,-1677.035522,1284.576294,0.031730,-0.033964,1.559054,812.407227,-3468.652100,1214.062134
116,0,-0.036899,0.055358,-1.549160,790.676270,-1678.648804,1286.131104,0.029773,-0.034974,1.562352,812.128723,-3468.215820,1214.352661
117,0,-0.041185,0.053965,-1.549512,788.709473,-1680.251831,1287.596558,0.030095,-0.035941,1.561867,811.830200,-3468.346436,1214.350464
118,0,-0.045281,0.052998,-1.549767,786.720703,-1681.852661,1288.991943,0.029005,-0.037815,1.558496,811.845642,-3468.600586,1214.221069
119,0,-0.049067,0.051993,-1.549791,784.737793,-1683.496704,1290.324829,0.028478,-0.036431,1.563628,811.843689,-3468.245850,1214.548584
120,0,-0.053624,0.050603,-1.549908,782.794067,-1685.090088,1291.553589,0.027187,-0.040759,1.563403,811.425110,-3467.899414,1214.646484
121,0,-0.055920,0.049975,-1.549727,780.888000,-1686.801636,1292.659912,0.023942,-0.040041,1.560589,810.856750,-3467.970703,1214.972534
122,0,-0.061503,0.048522,-1.550554,779.024109,-1688.377808,1293.745239,0.023478,-0.037103,1.560430,810.723450,-3467.751709,1214.952271
123,0,-0.064256,0.047775,-1.550698,777.149109,-1690.059814,1294.698608,0.022905,-0.037457,1.560295,810.385864,-3467.607666,1215.068359
124,0,-0.067804,0.047774,-1.550616,775.255005,-1691.704102,1295.534180,0.022466,-0.041431,1.557273,810.022034,-3467.604736,1215.178955
125,0,-0.073456,0.048771,-1.549429,773.283386,-1693.496216,1296.492432,0.021426,-0.042427,1.556601,809.700256,-3467.676758,1215.296997
126,0,-0.075774,0.048665,-1.548973,771.450989,-1695.156494,1297.213135,0.020873,-0.042829,1.557266,809.034973,-3467.638916,1215.487671
127,0,-0.079310,0.047112,-1.549178,769.617310,-1696.850586,1297.905518,0.020233,-0.043063,1.557410,808.713745,-3467.483887,1215.698120
128,0,-0.081359,0.047306,-1.549175,767.875610,-1698.488403,1298.551025,0.020714,-0.040433,1.558550,808.336304,-3467.417480,1215.651489
129,0,-0.085064,0.046959,-1.549594,766.162292,-1700.123413,1299.134155,0.022828,-0.040893,1.559964,808.001160,-3467.378906,1215.995850
130,0,-0.088194,0.048001,-1.549389,764.468262,-1701.762207,1299.676392,0.022972,-0.040588,1.559719,807.697327,-3467.439453,1216.052124
131,0,-0.091786,0.047796,-1.549005,762.799438,-1703.359497,1300.161377,0.023253,-0.038842,1.557185,807.088074,-3467.849609,1215.983765
132,0,-0.094848,0.048155,-1.549107,761.165527,-1704.943726,1300.621338,0.025810,-0.036780,1.556576,806.846619,-3467.739502,1215.622925
133,0,-0.098100,0.048316,-1.549026,759.530212,-1706.524658,1301.040527,0.029588,-0.033659,1.553296,805.733887,-3468.698242,1214.463623
134,0,-0.099909,0.048504,-1.549132,757.940918,-1708.116699,1301.442017,0.028932,-0.035020,1.549986,805.365234,-3469.021484,1214.491699
135,0,-0.100440,0.047557,-1.548145,756.341187,-1709.744385,1301.775635,0.026224,-0.038988,1.554489,806.253906,-3468.088379,1215.057251
136,0,-0.099343,0.047121,-1.550423,754.712769,-1711.411621,1302.374146,0.025330,-0.036395,1.553895,805.555664,-3468.296143,1214.944824
