Topic,Timestamp,Data
/aruco_detection,1722476617833542643,True
/aruco_detection,1722476617857862584,True
/aruco_detection,1722476617886192046,True
/aruco_detection,1722476617908554570,True
/aruco_detection,1722476617932648050,True
/aruco_detection,1722476617957540272,True
/aruco_detection,1722476617983288324,True
/aruco_detection,1722476618008468191,True
/aruco_detection,1722476618034814733,True
/aruco_detection,1722476618057919072,True
/aruco_detection,1722476618083262841,True
/aruco_detection,1722476618109713605,True
/aruco_detection,1722476618132652154,True
/aruco_detection,1722476618158173297,True
/aruco_detection,1722476618182937745,True
/aruco_detection,1722476618208770788,True
/aruco_detection,1722476618233760481,True
/aruco_detection,1722476618257934184,True
/aruco_detection,1722476618282188270,True
/aruco_detection,1722476618307929314,True
/aruco_detection,1722476618334707370,True
/aruco_detection,1722476618358642196,True
/aruco_detection,1722476618383066712,True
/aruco_detection,1722476618408837452,True
/aruco_detection,1722476618432994099,True
/aruco_detection,1722476618457992368,True
/aruco_detection,1722476618483978337,True
/aruco_detection,1722476618507977418,True
/aruco_detection,1722476618534425302,True
/aruco_detection,1722476618563918879,True
/aruco_detection,1722476618583683769,True
/aruco_detection,1722476618607687394,True
/aruco_detection,1722476618632150501,True
/aruco_detection,1722476618657646204,True
/aruco_detection,1722476618682728408,True
/aruco_detection,1722476618709178084,True
/aruco_detection,1722476618732168057,True
/aruco_detection,1722476618757455763,True
/aruco_detection,1722476618782295281,False
/aruco_detection,1722476618808693310,True
/aruco_detection,1722476618833455070,True
/aruco_detection,1722476618858260861,True
/aruco_detection,1722476618882326981,True
/aruco_detection,1722476618909029199,True
/aruco_detection,1722476618933009271,True
/aruco_detection,1722476618957991285,True
/aruco_detection,1722476618982779828,True
/aruco_detection,1722476619008926148,True
/aruco_detection,1722476619032582865,True
/aruco_detection,1722476619058683297,True
/aruco_detection,1722476619082247535,True
/aruco_detection,1722476619109683983,True
/aruco_detection,1722476619134331472,True
/aruco_detection,1722476619157999485,True
/aruco_detection,1722476619182387169,True
/aruco_detection,1722476619208041815,True
/aruco_detection,1722476619233463759,True
/aruco_detection,1722476619258071504,True
/aruco_detection,1722476619282505108,True
/aruco_detection,1722476619310222321,True
/aruco_detection,1722476619333707840,True
/aruco_detection,1722476619358465888,True
/aruco_detection,1722476619384193781,True
/aruco_detection,1722476619409071955,True
/aruco_detection,1722476619434810152,True
/aruco_detection,1722476619458106168,True
/aruco_detection,1722476619482860472,True
/aruco_detection,1722476619508823978,False
/aruco_detection,1722476619532752468,True
/aruco_detection,1722476619558394825,True
/aruco_detection,1722476619583207177,True
/aruco_detection,1722476619608042855,True
/aruco_detection,1722476619633339969,True
/aruco_detection,1722476619657271499,True
/aruco_detection,1722476619682140841,True
/aruco_detection,1722476619707492258,True
/aruco_detection,1722476619733316054,True
/aruco_detection,1722476619757607067,True
/aruco_detection,1722476619782942452,True
/aruco_detection,1722476619811744069,True
/aruco_detection,1722476619834407613,True
/aruco_detection,1722476619858488805,True
/aruco_detection,1722476619883280612,True
/aruco_detection,1722476619909179543,True
/aruco_detection,1722476619934303154,True
/aruco_detection,1722476619959039827,True
/aruco_detection,1722476619983708339,True
/aruco_detection,1722476620009007309,True
/aruco_detection,1722476620032802936,True
/aruco_detection,1722476620058327823,True
/aruco_detection,1722476620083894662,True
/aruco_detection,1722476620108278634,True
/aruco_detection,1722476620133396198,True
/aruco_detection,1722476620158626720,True
/aruco_detection,1722476620183858875,True
/aruco_detection,1722476620209526160,True
/aruco_detection,1722476620233692535,True
/aruco_detection,1722476620259481739,True
/aruco_detection,1722476620285300383,True
/aruco_detection,1722476620309003787,True
/aruco_detection,1722476620334070023,True
/aruco_detection,1722476620358600810,True
/aruco_detection,1722476620385257620,True
/aruco_detection,1722476620408792194,True
/aruco_detection,1722476620432557133,True
/aruco_detection,1722476620457382733,True
/aruco_detection,1722476620483994519,True
/aruco_detection,1722476620508914549,True
/aruco_detection,1722476620534430732,True
/aruco_detection,1722476620558760177,True
/aruco_detection,1722476620584665028,True
/aruco_detection,1722476620610470360,True
/aruco_detection,1722476620633559147,True
/aruco_detection,1722476620658220620,True
/aruco_detection,1722476620682636016,True
/aruco_detection,1722476620709588054,True
/aruco_detection,1722476620732737417,True
/aruco_detection,1722476620758094434,True
/aruco_detection,1722476620783227102,True
/aruco_detection,1722476620809864168,True
/aruco_detection,1722476620832468257,False
/aruco_detection,1722476620858611345,True
/aruco_detection,1722476620883781164,True
/aruco_detection,1722476620908476172,True
/aruco_detection,1722476620933390219,True
/aruco_detection,1722476620958630757,True
/aruco_detection,1722476620983402693,True
/aruco_detection,1722476621008907644,True
/aruco_detection,1722476621031658675,False
/aruco_detection,1722476621059252082,True
/aruco_detection,1722476621083235547,True
/aruco_detection,1722476621108570965,True
/aruco_detection,1722476621133926414,True
