header,t,pose,velocity,acceleration,acc_bias,gyr_bias,jerk,snap,motors,timestamp
"seq: 10731
stamp: 
  secs: 1722274208
  nsecs: 600280762
frame_id: ""world""",1722274208.6002808,"position: 
  x: -0.8687464808382086
  y: 0.5655160675399762
  z: 1.3006613208838547
orientation: 
  x: 0.0008384220969212768
  y: 0.05591295746410889
  z: 0.0011997805156588855
  w: 0.9984345741022387","linear: 
  x: 0.3912261608892581
  y: 0.10785972640330478
  z: 0.2780934836962804
angular: 
  x: 0.04873540313718239
  y: -0.5906953730142676
  z: 0.0008466847436235113","linear: 
  x: 1.0477418995191998
  y: 0.0022821454060334336
  z: 1.0680959803039305
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6826797
"seq: 10732
stamp: 
  secs: 1722274208
  nsecs: 612787724
frame_id: ""world""",1722274208.6127877,"position: 
  x: -0.8641565482041891
  y: 0.5667685830658075
  z: 1.305087229800497
orientation: 
  x: 0.0005993881491690018
  y: 0.05210688240651178
  z: 0.0010952158721121265
  w: 0.9986407332178645","linear: 
  x: 0.39105305892913883
  y: 0.10455537652239301
  z: 0.3212523848151093
angular: 
  x: -0.0030298139191796644
  y: -0.601909744388072
  z: -0.010742322633461978","linear: 
  x: 0.9482120808834635
  y: -0.022702259947049233
  z: 1.2914880917643132
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.682728
"seq: 10733
stamp: 
  secs: 1722274208
  nsecs: 620261431
frame_id: ""world""",1722274208.6202614,"position: 
  x: -0.8615547035614496
  y: 0.5673984844944228
  z: 1.3070824498703262
orientation: 
  x: 0.00030429643868064825
  y: 0.04963047612825014
  z: 0.0010856635855238629
  w: 0.9987670121592622","linear: 
  x: 0.3863151426322574
  y: 0.09922583886168863
  z: 0.3146955954666105
angular: 
  x: -0.03275554932454343
  y: -0.6266472861145911
  z: -0.008898223810031941","linear: 
  x: 0.8597828679712924
  y: -0.061337351439452056
  z: 1.1677727805712363
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6827712
"seq: 10734
stamp: 
  secs: 1722274208
  nsecs: 634580374
frame_id: ""world""",1722274208.6345804,"position: 
  x: -0.8560625551427539
  y: 0.5687413795755043
  z: 1.3109731164307792
orientation: 
  x: -0.00012834279149268334
  y: 0.04517226491124899
  z: 0.001098395163727963
  w: 0.9989786001406538","linear: 
  x: 0.39482677976845676
  y: 0.09621504105754328
  z: 0.3095291218798908
angular: 
  x: -0.048834653105334594
  y: -0.6247713258696849
  z: -0.004495484603872446","linear: 
  x: 0.8324795155458202
  y: -0.07666148205672581
  z: 1.010488456695988
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6828105
"seq: 10735
stamp: 
  secs: 1722274208
  nsecs: 640283346
frame_id: ""world""",1722274208.6402833,"position: 
  x: -0.8537775908531844
  y: 0.5710886917482768
  z: 1.3141470014058456
orientation: 
  x: 0.00029925769549658647
  y: 0.044328793381687596
  z: 0.0010727823818807935
  w: 0.9990163750710579","linear: 
  x: 0.4002080053215418
  y: 0.1535487044476469
  z: 0.3599787843633435
angular: 
  x: -0.0004509014816305224
  y: -0.5447757369468721
  z: -0.0037322863808186054","linear: 
  x: 0.8371400157359197
  y: 0.3482651756270562
  z: 1.3391774141407717
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6828475
"seq: 10736
stamp: 
  secs: 1722274208
  nsecs: 650216103
frame_id: ""world""",1722274208.650216,"position: 
  x: -0.8500140818577899
  y: 0.572917620734788
  z: 1.3160841132467034
orientation: 
  x: 0.001027198314423537
  y: 0.043936807730622925
  z: 0.0009943256601429383
  w: 0.9990332892884735","linear: 
  x: 0.40020850939575103
  y: 0.16540678117290644
  z: 0.31687106238094465
angular: 
  x: 0.06732304455417397
  y: -0.32438713725496887
  z: -0.005743505537484364","linear: 
  x: 0.775476320544347
  y: 0.4083112369918058
  z: 0.9199889741141795
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6852567
"seq: 10737
stamp: 
  secs: 1722274208
  nsecs: 666563988
frame_id: ""world""",1722274208.666564,"position: 
  x: -0.843515920949214
  y: 0.5753357731326373
  z: 1.3183359633726766
orientation: 
  x: 0.0021650030393269327
  y: 0.04365493204891713
  z: 0.0009538960895625793
  w: 0.9990438677815376","linear: 
  x: 0.4080716517123073
  y: 0.16100902587264104
  z: 0.23267489706507122
angular: 
  x: 0.11965561767520796
  y: -0.11358422864192633
  z: -0.0006044634518637249","linear: 
  x: 0.7398747515192383
  y: 0.3264276810044572
  z: 0.1861353782034859
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6852913
"seq: 10738
stamp: 
  secs: 1722274208
  nsecs: 671566963
frame_id: ""world""",1722274208.671567,"position: 
  x: -0.8415877018633375
  y: 0.5758454986746082
  z: 1.3183568059157145
orientation: 
  x: 0.0025880032552379278
  y: 0.04398365706698272
  z: 0.0008700512808476675
  w: 0.9990285196934738","linear: 
  x: 0.4076999173547783
  y: 0.15267972027118967
  z: 0.19554978961120537
angular: 
  x: 0.13322261585486622
  y: -0.04829392105195684
  z: -0.007408949636025539","linear: 
  x: 0.7095501724394192
  y: 0.2522604605576546
  z: -0.09718274738060823
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6852996
"seq: 10739
stamp: 
  secs: 1722274208
  nsecs: 680296898
frame_id: ""world""",1722274208.680297,"position: 
  x: -0.8381453919399953
  y: 0.5768654325982813
  z: 1.3191817287937952
orientation: 
  x: 0.0034493661330690646
  y: 0.044591527696477715
  z: 0.0007847518094748756
  w: 0.9989990398872123","linear: 
  x: 0.4093434591831617
  y: 0.14468255374178848
  z: 0.16692300974637952
angular: 
  x: 0.16025667504529204
  y: 0.029751997219979873
  z: -0.008905080625587642","linear: 
  x: 0.6761690223738611
  y: 0.17744541747233783
  z: -0.3009441494192051
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.6853096
"seq: 10740
stamp: 
  secs: 1722274208
  nsecs: 693176270
frame_id: ""world""",1722274208.6931763,"position: 
  x: -0.8332674275096302
  y: 0.5778887557399502
  z: 1.3194866395842175
orientation: 
  x: 0.0061949530789735165
  y: 0.04671137625213659
  z: 0.0006558738012624503
  w: 0.9988890026997683","linear: 
  x: 0.40401037579410193
  y: 0.1204698446455277
  z: 0.10700481177177185
angular: 
  x: 0.30717795617305876
  y: 0.18583404961534994
  z: -0.005509287754008138","linear: 
  x: 0.5736924154108876
  y: -0.015584535604643193
  z: -0.7083768037210814
angular: 
  x: 0.0
  y: 0.0
  z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0","(0.0, 0.0, 0.0, 0.0)",1722274208.7009816
