timestamp,data,cov
1722284411.070141,"[-0.13847675919532776, -2.582034111022949, 1.244341254234314, -0.010976195335388184, 0.02896391972899437, -0.015131223946809769, 0.9994056820869446, -0.08723769153104556, -0.2229954108221865, 0.007499223350514593, -0.03733271645646624, -0.1062074740600988, -0.030084637777666498]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.0762424,"[-0.13894501328468323, -2.5831308364868164, 1.2444316148757935, -0.011079531162977219, 0.028708435595035553, -0.015205885283648968, 0.9994108080863953, -0.08767730197253772, -0.22173932387424816, 0.00787301743487611, -0.030186208002443756, -0.09660349604196888, -0.029149475213273247]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.080058,"[-0.13941411674022675, -2.5842225551605225, 1.2445204257965088, -0.011110479943454266, 0.028473448008298874, -0.015253577381372452, 0.9994164705276489, -0.0879813370274267, -0.2204857265370678, 0.007981759810934146, 0.012352193225932277, -0.09441159580286869, -0.010005950635925543]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.0854323,"[-0.1398399919271469, -2.585296392440796, 1.2445858716964722, -0.011053969152271748, 0.0282085333019495, -0.01526208221912384, 0.9994244575500488, -0.08355999978949612, -0.21779497861427358, 0.005904592693843439, 0.025278514159792514, -0.12297292724199534, -0.0024890641689006825]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.0911179,"[-0.14028452336788177, -2.5863678455352783, 1.2446584701538086, -0.011038793250918388, 0.027831148356199265, -0.015278772450983524, 0.9994349479675293, -0.0823402455163362, -0.21609214104431781, 0.00510405579244197, -0.015096131163781288, -0.18232027829270228, -0.016311767357380446]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.095449,"[-0.14072246849536896, -2.5874311923980713, 1.2447177171707153, -0.011096533387899399, 0.02731763757765293, -0.015326816588640213, 0.9994477033615112, -0.08102865886706506, -0.21439307031981084, 0.003612464752896599, -0.0027525567116792114, -0.2185308116545875, -0.023832827387161814]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.1004057,"[-0.1411493718624115, -2.588503122329712, 1.2447993755340576, -0.01104112807661295, 0.026745038107037544, -0.01537520345300436, 0.9994630813598633, -0.07900554359858111, -0.21512735655757814, 0.005803666520980139, 0.0517110150773505, -0.24164583387499802, -0.017426553113438412]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.1065392,"[-0.14101135730743408, -2.589735507965088, 1.2451893091201782, -0.01092058140784502, 0.02603818289935589, -0.015422933734953403, 0.9994823336601257, -0.07548518250944464, -0.215409825949957, 0.02285288962815557, 0.07828086595112545, -0.28826484503325317, -0.016390616760430587]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.1100063,"[-0.14141176640987396, -2.590797185897827, 1.245354413986206, -0.010759935714304447, 0.025242909789085388, -0.015460513532161713, 0.9995039105415344, -0.07423813276606056, -0.21468251211498282, 0.02577674824746795, 0.051766120072538134, -0.3434440974636288, -0.014349477354986663]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
1722284411.1157236,"[-0.14181707799434662, -2.591834783554077, 1.2455109357833862, -0.010694674216210842, 0.02434968762099743, -0.015487403608858585, 0.99952632188797, -0.07425215209743363, -0.2116780121065283, 0.026267735317511552, 0.01655510373909753, -0.35945163237197764, -0.016390505665447048]","(0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001)"
