timestamp,data
1724181275.0363855,"[-0.03173659943673846, 0.018045988352790653, 0.06377148992751, 0.0, 0.0, 0.0]"
1724181275.0403075,"[-0.027183133514241828, 0.017423473532610863, 0.09108620479838848, 0.0, 0.0, 0.0]"
1724181275.0462162,"[-0.02737366949681829, 0.01754560068354038, 0.09172465950491925, 0.0, 0.0, 0.0]"
1724181275.0554063,"[-0.024943280004156018, 0.01703506254535864, 0.0912375271264156, 0.0, 0.0, 0.0]"
1724181275.0573466,"[-0.024562208039003143, 0.01679080824349961, 0.08996061771335408, 0.0, 0.0, 0.0]"
1724181275.0665684,"[-0.022989738923225228, 0.016385980375836738, 0.09046720024228838, 0.0, 0.0, 0.0]"
1724181275.0757318,"[-0.022186694587593304, 0.01613769581435825, 0.09097915148777141, 0.0, 0.0, 0.0]"
1724181275.0862138,"[-0.021414290382410973, 0.015845453375265328, 0.09119922885689505, 0.0, 0.0, 0.0]"
1724181275.0885978,"[-0.020289308252131592, 0.01619716836442526, 0.1210508807901812, 0.0, 0.0, 0.0]"
1724181275.0955815,"[-0.019404393139112176, 0.015796907067046756, 0.12096793291886236, 0.0, 0.0, 0.0]"
1724181275.106154,"[-0.019539408408002203, 0.015906837269241317, 0.12180989164855878, 0.0, 0.0, 0.0]"
1724181275.1159573,"[-0.019716601052668616, 0.01624619460563244, 0.12316796235291819, 0.0, 0.0, 0.0]"
1724181275.1201658,"[-0.01926217836164401, 0.015683375513090504, 0.1201194454366882, 0.0, 0.0, 0.0]"
1724181275.126677,"[-0.01837301222834195, 0.015236151928951626, 0.11963634242135407, 0.0, 0.0, 0.0]"
1724181275.1360657,"[-0.017003580044403933, 0.01625787782077229, 0.12079933201349904, 0.0, 0.0, 0.0]"
1724181275.146112,"[-0.017120921598246654, 0.01637032120418303, 0.121634318245065, 0.0, 0.0, 0.0]"
1724181275.1486318,"[-0.016287020224927957, 0.015611059360152583, 0.13590128385761122, 0.0, 0.0, 0.0]"
1724181275.1554296,"[-0.01573572794566012, 0.015172838522447066, 0.13536732799169723, 0.0, 0.0, 0.0]"
1724181275.1651711,"[-0.01544352569319761, 0.015918013251406113, 0.1352091404604421, 0.0, 0.0, 0.0]"
1724181275.175639,"[-0.015251590542577293, 0.01679250489838019, 0.13501092067244397, 0.0, 0.0, 0.0]"
