timestamp,data
1722539294.5454745,"[1.0, -1.0, 0.029048181645082598, 0.0, 0.0, 0.0]"
1722539294.547697,"[1.0, -1.0, 0.02925179039493131, 0.0, 0.0, 0.0]"
1722539294.5583894,"[1.0, -1.0, 0.026849845874084212, 0.0, 0.0, 0.0]"
1722539294.568147,"[1.0, -1.0, 0.02312554344959557, 0.0, 0.0, 0.0]"
1722539294.5705838,"[1.0, -1.0, 0.02644262837438679, 0.0, 0.0, 0.0]"
1722539294.578285,"[1.0, -1.0, 0.02662797390037548, 0.0, 0.0, 0.0]"
1722539294.5890498,"[1.0, -1.0, 0.02164534562277493, 0.0, 0.0, 0.0]"
1722539294.592663,"[1.0, -1.0, 0.01736500662032021, 0.0, 0.0, 0.0]"
1722539294.5986855,"[1.0, -1.0, 0.01748672395644395, 0.0, 0.0, 0.0]"
1722539294.6082947,"[1.0, -1.0, 0.01699916752960958, 0.0, 0.0, 0.0]"
1722539294.6109414,"[1.0, -1.0, 0.0167557328573621, 0.0, 0.0, 0.0]"
1722539294.619996,"[1.0, -1.0, 0.015620580942512603, 0.0, 0.0, 0.0]"
1722539294.628702,"[1.0, -1.0, 0.01670847743862694, 0.0, 0.0, 0.0]"
1722539294.6309888,"[1.0, -1.0, 0.016482363884368256, 0.0, 0.0, 0.0]"
1722539294.6400645,"[1.0, -1.0, 0.02142036234861431, 0.0, 0.0, 0.0]"
1722539294.6445684,"[1.0, -1.0, 0.024607716264387482, 0.0, 0.0, 0.0]"
1722539294.6486597,"[1.0, -1.0, 0.02478020025689487, 0.0, 0.0, 0.0]"
1722539294.6592553,"[1.0, -1.0, 0.027717143535926664, 0.0, 0.0, 0.0]"
1722539294.663234,"[1.0, -1.0, 0.02875548812954957, 0.0, 0.0, 0.0]"
1722539294.6686692,"[1.0, -1.0, 0.028957045289336132, 0.0, 0.0, 0.0]"
1722539294.6789544,"[1.0, -1.0, 0.03854316122716683, 0.0, 0.0, 0.0]"
1722539294.6822004,"[1.0, -1.0, 0.038140046907593705, 0.0, 0.0, 0.0]"
1722539294.688361,"[1.0, -1.0, 0.04237684194216215, 0.0, 0.0, 0.0]"
1722539294.6994255,"[1.0, -1.0, 0.04528004168494559, 0.0, 0.0, 0.0]"
1722539294.7027433,"[1.0, -1.0, 0.048700729248114596, 0.0, 0.0, 0.0]"
1722539294.7092202,"[1.0, -1.0, 0.04904208949985372, 0.0, 0.0, 0.0]"
1722539294.717864,"[1.0, -1.0, 0.053707581968404576, 0.0, 0.0, 0.0]"
1722539294.7282128,"[1.0, -1.0, 0.053455893657800985, 0.0, 0.0, 0.0]"
1722539294.7315056,"[1.0, -1.0, 0.052401503564615315, 0.0, 0.0, 0.0]"
1722539294.737681,"[1.0, -1.0, 0.05431526339098068, 0.0, 0.0, 0.0]"
1722539294.747671,"[1.0, -1.0, 0.05469340331947846, 0.0, 0.0, 0.0]"
1722539294.759187,"[1.0, -1.0, 0.05537182809803568, 0.0, 0.0, 0.0]"
1722539294.7635155,"[1.0, -1.0, 0.05424824798240963, 0.0, 0.0, 0.0]"
1722539294.7687087,"[1.0, -1.0, 0.05470756286078541, 0.0, 0.0, 0.0]"
