Frame,Sub Frame,RX_c,RY_c,RZ_c,TX_c,TY_c,TZ_c,RX_l,RY_l,RZ_l,TX_l,TY_l,TZ_l
61,0,-0.046436,-0.140051,-1.566161,2476.954834,-1425.770020,986.304626,0.178995,-0.564235,1.533711,2201.565430,-2881.608398,1084.827881
62,0,-0.050210,-0.139585,-1.563089,2476.577637,-1424.922119,985.491638,0.192793,-0.628256,1.524521,2202.445068,-2881.707031,1084.146606
63,0,-0.049196,-0.137633,-1.562227,2476.381836,-1424.157837,984.975769,0.157307,-0.505455,1.546968,2201.211426,-2884.371338,1085.935303
64,0,-0.048915,-0.136376,-1.561158,2476.203613,-1423.368896,984.464172,0.167262,-0.542048,1.541048,2201.786133,-2884.707520,1085.729736
65,0,-0.048054,-0.135340,-1.560673,2476.034424,-1422.576538,983.955261,0.177934,-0.592938,1.534245,2202.279053,-2885.066162,1084.936523
66,0,-0.048336,-0.135189,-1.559688,2475.891602,-1421.754272,983.484375,0.200663,-0.628157,1.525016,2201.604248,-2884.911133,1085.268677
67,0,-0.042430,-0.132784,-1.562433,2475.922363,-1420.981323,983.339111,0.184924,-0.635793,1.527757,2202.933350,-2886.386475,1084.412231
68,0,-0.048472,-0.135328,-1.559299,2475.468262,-1420.009521,982.638794,0.176116,-0.604759,1.533530,2202.954102,-2887.693848,1085.157959
69,0,-0.044249,-0.134084,-1.561333,2475.445068,-1419.164551,982.531982,0.177559,-0.620695,1.531897,2203.418701,-2888.356445,1084.932861
70,0,-0.044834,-0.135019,-1.560615,2475.089111,-1418.234497,982.113342,-0.001916,0.055271,1.599784,2206.023438,-2890.137939,1103.791382
71,0,-0.050776,-0.136214,-1.558487,2474.670410,-1417.275757,981.523987,-0.001743,0.054910,1.599748,2206.334717,-2890.998047,1103.652100
72,0,-0.044162,-0.135147,-1.560919,2474.569580,-1416.473511,981.495789,-0.000843,0.053866,1.600193,2206.723633,-2891.878174,1103.702759
73,0,-0.051301,-0.137633,-1.558824,2473.999023,-1415.516602,980.837891,0.001575,0.052625,1.600023,2207.117676,-2892.782471,1103.720215
74,0,-0.046075,-0.137533,-1.561039,2473.833252,-1414.750244,980.838928,-0.001863,0.057347,1.600456,2207.330078,-2893.890137,1103.355957
