Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
68,0,-0.028482,0.072551,1.543073,2397.275635,-3341.697998,1058.857178,-0.026674,-0.160599,-1.595988,2362.726318,-1880.472778,1015.385986
69,0,-0.029140,0.072142,1.542661,2396.068359,-3342.564941,1058.667114,-0.026895,-0.160063,-1.595711,2361.905762,-1880.221558,1015.239380
70,0,-0.028345,0.074070,1.542657,2394.711914,-3343.381836,1058.305908,-0.022314,-0.157695,-1.597629,2361.103760,-1880.032715,1015.247009
71,0,-0.026863,0.077190,1.544560,2393.528320,-3344.229004,1058.098267,-0.022582,-0.158248,-1.597984,2360.323242,-1879.721436,1015.083679
72,0,-0.024052,0.074150,1.545979,2392.519287,-3344.993896,1057.782715,-0.023396,-0.158312,-1.597681,2359.640137,-1879.394653,1015.025757
73,0,-0.019807,0.073983,1.546937,2391.101074,-3345.676758,1057.522949,-0.024336,-0.158200,-1.597566,2358.908203,-1879.039307,1015.000366
74,0,-0.017842,0.071919,1.547029,2389.983887,-3346.454590,1057.351440,-0.024880,-0.158547,-1.597999,2358.097900,-1878.612793,1015.020142
75,0,-0.017810,0.077239,1.548861,2387.935059,-3346.744385,1056.791138,-0.024790,-0.157890,-1.598512,2357.324463,-1878.206177,1014.945740
76,0,-0.017512,0.075725,1.550056,2386.850098,-3347.386719,1056.451782,-0.025079,-0.158531,-1.598092,2356.635010,-1877.815430,1014.893982
77,0,-0.018227,0.076306,1.549888,2385.657227,-3348.119873,1056.273804,-0.024678,-0.159406,-1.598036,2355.921875,-1877.405151,1014.846436
78,0,-0.010712,0.055833,1.545239,2384.262207,-3348.430420,1055.567749,-0.024026,-0.159574,-1.598009,2355.198486,-1876.899780,1014.823792
79,0,-0.010193,0.069523,1.550855,2383.314697,-3349.546387,1055.866455,-0.023993,-0.160203,-1.597837,2354.484375,-1876.388184,1014.830811
80,0,-0.007935,0.067605,1.551658,2382.266357,-3350.217285,1055.672729,-0.023701,-0.160527,-1.598078,2353.813232,-1875.838867,1014.886353
81,0,-0.002632,0.063662,1.553212,2381.167969,-3350.991943,1055.538452,-0.023554,-0.160359,-1.598218,2353.133545,-1875.266479,1014.910095
82,0,-0.001762,0.060009,1.549899,2381.083252,-3352.295166,1055.748291,-0.027156,-0.162397,-1.597384,2352.496582,-1874.575684,1014.659180
83,0,0.002167,0.061625,1.555906,2379.455078,-3352.395264,1055.211670,-0.027063,-0.161370,-1.597836,2351.942139,-1874.021240,1014.664062
84,0,0.004149,0.061381,1.555673,2378.602295,-3353.115479,1054.965210,-0.030097,-0.159648,-1.596608,2351.415283,-1873.518799,1014.829773
85,0,0.006965,0.054427,1.556148,2378.399658,-3354.352295,1055.193359,-0.025917,-0.158937,-1.598540,2350.840820,-1872.713379,1014.615295
86,0,0.007204,0.059962,1.556427,2376.516846,-3354.409424,1054.498291,-0.030766,-0.158955,-1.597515,2350.302734,-1872.085205,1014.785767
87,0,0.010713,0.052076,1.556609,2376.423340,-3355.851807,1054.828491,-0.034185,-0.156294,-1.596794,2349.850098,-1871.507446,1015.033142
88,0,0.014035,0.046411,1.555917,2375.470459,-3356.691895,1054.544800,-0.035862,-0.155313,-1.596664,2349.455566,-1870.851562,1015.178711
89,0,0.016127,0.043359,1.557835,2374.802002,-3357.449219,1054.379761,-0.037377,-0.154336,-1.596878,2349.046631,-1870.143555,1015.299438
90,0,0.016785,0.041531,1.557582,2373.846436,-3358.221924,1054.087891,-0.037882,-0.153456,-1.596747,2348.562744,-1869.385986,1015.387878
91,0,0.018161,0.039284,1.556406,2373.172852,-3359.052734,1053.956421,-0.035844,-0.154656,-1.597984,2348.010986,-1868.523560,1015.351868
92,0,0.020430,0.046393,1.560650,2371.052734,-3359.343262,1053.343628,-0.035751,-0.154936,-1.597878,2347.507324,-1867.739380,1015.455750
93,0,0.017328,0.041531,1.561174,2370.921387,-3360.472656,1053.241089,-0.035291,-0.154565,-1.597689,2347.074219,-1866.925049,1015.580872
94,0,0.019418,0.044396,1.561637,2369.362793,-3360.768311,1052.743774,-0.035068,-0.155124,-1.597807,2346.648438,-1866.074463,1015.740967
95,0,0.018791,0.044899,1.561672,2368.511475,-3361.539795,1052.527222,-0.034187,-0.155451,-1.597975,2346.199219,-1865.232910,1015.853394
96,0,0.018756,0.044105,1.561471,2367.930176,-3362.469482,1052.407959,-0.034353,-0.156482,-1.597716,2345.817627,-1864.362427,1016.016235
97,0,0.017065,0.045082,1.561986,2366.945801,-3363.204102,1052.088989,-0.033878,-0.155473,-1.597631,2345.503174,-1863.485474,1016.191956
98,0,0.014763,0.044693,1.561898,2366.361572,-3363.934570,1051.911499,-0.036766,-0.153354,-1.596454,2345.298340,-1862.701172,1016.432068
99,0,0.011865,0.043279,1.561467,2365.594238,-3364.871094,1051.795776,-0.038293,-0.151304,-1.596897,2345.116943,-1861.797241,1016.512878
100,0,0.011311,0.035798,1.557973,2364.848633,-3365.492188,1051.498413,-0.037010,-0.150194,-1.598203,2344.928223,-1860.792725,1016.468140
101,0,0.008349,0.035757,1.558373,2364.116943,-3366.321045,1051.275391,-0.039683,-0.147642,-1.597586,2344.740479,-1859.893188,1016.703003
102,0,0.006884,0.035733,1.558302,2363.337646,-3367.161865,1051.147583,-0.039029,-0.147991,-1.598091,2344.614502,-1858.807129,1016.733643
103,0,0.004692,0.034679,1.558472,2362.507080,-3368.135986,1050.989136,-0.039377,-0.146806,-1.598183,2344.471191,-1857.791382,1016.849854
104,0,0.002858,0.034211,1.558418,2361.784668,-3369.019287,1050.900757,-0.041173,-0.146100,-1.596897,2344.346191,-1856.837036,1017.102478
105,0,0.000082,0.034709,1.559043,2361.052246,-3369.871826,1050.774658,-0.040804,-0.146782,-1.597449,2344.145508,-1855.729736,1017.214172
106,0,-0.003832,0.035552,1.558244,2360.113281,-3370.750732,1050.459351,-0.038387,-0.148378,-1.598657,2343.907715,-1854.548462,1017.155396
107,0,-0.005267,0.034293,1.558439,2359.335938,-3371.780273,1050.343262,-0.037645,-0.148715,-1.599025,2343.759033,-1853.493408,1017.218933
108,0,0.002129,0.036949,1.559763,2357.732666,-3371.909668,1049.669189,-0.036244,-0.148974,-1.599082,2343.687744,-1852.452637,1017.297119
109,0,0.003396,0.035335,1.561239,2357.011719,-3373.026367,1049.642578,-0.030551,-0.144459,-1.600028,2343.724365,-1851.589722,1017.696289
110,0,-0.007791,0.050656,1.564608,2356.016113,-3374.349121,1049.923462,-0.028050,-0.141751,-1.599963,2343.717041,-1850.609619,1017.847412
111,0,-0.009625,0.050179,1.564709,2355.156738,-3375.376953,1049.781982,-0.024577,-0.137767,-1.600797,2343.704102,-1849.671265,1017.967712
112,0,-0.017498,0.051956,1.563230,2354.163818,-3375.976318,1049.336426,-0.024076,-0.137075,-1.600259,2343.673584,-1848.669189,1017.821533
113,0,-0.015074,0.048574,1.562500,2353.771729,-3377.267334,1049.538208,-0.020354,-0.133301,-1.600454,2343.777588,-1847.858887,1017.918335
114,0,-0.018152,0.051035,1.564292,2352.920654,-3378.301514,1049.433594,-0.016287,-0.129096,-1.600811,2343.870117,-1847.042969,1018.077881
115,0,-0.021003,0.051420,1.564732,2352.037354,-3379.313965,1049.288452,-0.008647,-0.121415,-1.602610,2344.011230,-1846.369751,1018.460388
116,0,-0.022235,0.050249,1.562956,2351.524902,-3380.222900,1049.188965,-0.004962,-0.118755,-1.602619,2344.113525,-1845.454712,1018.586975
117,0,-0.023946,0.053103,1.564600,2350.634521,-3381.397705,1049.140381,-0.002431,-0.116535,-1.602630,2344.261963,-1844.528687,1018.741821
118,0,-0.030434,0.030259,1.556280,2352.520752,-3383.457275,1049.683838,-0.005746,-0.117790,-1.600464,2344.398926,-1843.477539,1018.710144
119,0,-0.031993,0.029352,1.557041,2351.406250,-3384.336914,1049.419800,-0.002761,-0.118339,-1.601306,2344.610107,-1842.350464,1018.763062
120,0,-0.035482,0.032121,1.556564,2350.627441,-3385.249756,1049.346802,-0.003381,-0.119511,-1.601213,2344.856689,-1841.245483,1018.923645
121,0,-0.036238,0.031921,1.556167,2349.750244,-3386.166016,1049.158569,-0.001645,-0.117582,-1.601849,2345.114746,-1840.227051,1019.382935
122,0,-0.036856,0.031079,1.556682,2348.568848,-3387.028076,1048.881348,-0.004151,-0.119694,-1.601925,2345.388916,-1839.060059,1019.670471
123,0,-0.041521,0.033118,1.555289,2347.928467,-3387.987305,1048.784790,-0.004843,-0.122900,-1.602448,2345.657227,-1837.867676,1019.918457
124,0,-0.042690,0.032551,1.555180,2347.123047,-3389.067139,1048.649048,-0.008484,-0.123375,-1.601155,2346.013916,-1836.835938,1020.430420
125,0,-0.044759,0.033380,1.551301,2346.049072,-3390.041992,1048.479736,-0.007777,-0.125145,-1.601711,2346.404297,-1835.673950,1020.761108
126,0,-0.046150,0.034592,1.553945,2345.150879,-3390.665283,1047.960083,-0.010243,-0.125062,-1.600419,2346.801025,-1834.711426,1021.351318
127,0,-0.047183,0.032946,1.551265,2344.158203,-3391.644043,1047.706177,-0.015641,-0.127564,-1.598324,2347.128906,-1833.631348,1021.676880
128,0,-0.046825,0.032517,1.551930,2343.063477,-3392.576172,1047.259644,-0.015701,-0.127847,-1.597643,2347.521973,-1832.729126,1022.144104
129,0,-0.047128,0.032985,1.549950,2342.055664,-3393.282471,1046.852295,-0.014802,-0.127421,-1.597884,2347.957031,-1831.819092,1022.577148
130,0,-0.048865,0.032950,1.549846,2340.808838,-3394.037842,1046.129761,-0.008732,-0.124980,-1.599744,2348.478516,-1831.030884,1023.146484
131,0,-0.046681,0.031470,1.550576,2339.940186,-3394.899170,1045.632812,-0.007437,-0.123179,-1.599773,2348.967529,-1830.212891,1023.561584
132,0,-0.045019,0.032846,1.551329,2339.077637,-3395.906006,1045.286377,-0.003904,-0.122311,-1.600718,2349.435059,-1829.415527,1023.795471
133,0,-0.045189,0.034126,1.550502,2337.767334,-3396.626953,1044.614136,-0.006769,-0.121971,-1.598889,2349.939697,-1828.628540,1024.003296
134,0,-0.042047,0.021824,1.549800,2336.500977,-3396.929932,1043.583008,-0.004286,-0.119026,-1.599082,2350.478271,-1827.993408,1024.297241
135,0,-0.045167,0.034759,1.550583,2335.756348,-3397.880371,1043.459229,-0.002639,-0.115097,-1.598389,2351.076904,-1827.498169,1024.679565
136,0,-0.044611,0.037079,1.552170,2334.641113,-3398.676758,1042.822021,0.006656,-0.103822,-1.600857,2351.833252,-1827.069580,1025.224731
137,0,-0.043645,0.041047,1.550043,2333.558838,-3399.136475,1042.255371,0.009615,-0.101539,-1.600759,2352.406738,-1826.476440,1025.292847
138,0,-0.047501,0.046158,1.549101,2332.228027,-3399.607666,1041.553955,0.013600,-0.101104,-1.601622,2352.984375,-1825.777222,1025.233276
139,0,-0.046051,0.043894,1.552155,2331.346924,-3400.202881,1041.035889,0.012823,-0.099583,-1.600695,2353.629639,-1825.192627,1025.375244
140,0,-0.045050,0.045605,1.549442,2330.200928,-3400.829102,1040.589600,0.013353,-0.099827,-1.600567,2354.313477,-1824.494141,1025.457886
141,0,-0.047329,0.049377,1.547048,2328.871582,-3401.061279,1039.879517,0.012599,-0.100941,-1.600158,2354.995361,-1823.832153,1025.542236
142,0,-0.046855,0.048341,1.546827,2327.704102,-3401.803223,1039.453003,0.010937,-0.102107,-1.600329,2355.660889,-1823.138916,1025.671509
143,0,-0.047279,0.052127,1.546836,2326.116699,-3401.972412,1038.602905,0.011519,-0.104096,-1.601150,2356.382812,-1822.360718,1025.698608
144,0,-0.044690,0.053883,1.547284,2324.870117,-3402.319336,1038.032471,0.008002,-0.103890,-1.600582,2357.157959,-1821.786133,1025.958862
