Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
42,0,-0.010301,0.099927,1.471707,405.781433,-3028.623047,1043.746216
43,0,0.039503,-0.057677,1.470717,405.716034,-3027.967285,1039.313354
44,0,0.039580,-0.058064,1.470784,405.656372,-3028.004883,1039.299438
45,0,0.028515,-0.054658,1.467063,405.720001,-3028.250488,1039.571167
46,0,0.026501,-0.057793,1.465772,405.677521,-3028.561279,1039.843506
47,0,0.026730,-0.058644,1.465696,405.650635,-3028.579346,1039.865356
48,0,0.026807,-0.058968,1.465810,405.609314,-3028.620605,1039.929810
49,0,0.025893,-0.058755,1.466258,405.566833,-3028.673340,1039.982544
50,0,0.025338,-0.060436,1.465974,405.429321,-3028.775391,1040.044312
51,0,0.025234,-0.060902,1.466280,405.367004,-3028.793213,1040.060181
52,0,0.038595,-0.061124,1.472413,405.162170,-3028.487305,1039.638306
53,0,0.024428,-0.064472,1.468318,404.860901,-3028.743408,1040.258667
54,0,0.024439,-0.062447,1.467017,405.244568,-3028.988281,1040.195312
55,0,0.042225,-0.080126,1.469970,404.807495,-3029.061523,1040.807495
56,0,0.042358,-0.079909,1.470109,404.740814,-3029.124756,1040.807007
57,0,0.041165,-0.078181,1.470227,404.695221,-3029.125732,1040.786621
58,0,0.041392,-0.078366,1.470657,404.653290,-3029.172119,1040.795776
59,0,0.041261,-0.078050,1.471004,404.691650,-3029.214844,1040.774048
60,0,0.040949,-0.076617,1.471084,404.763153,-3029.305176,1040.800415
61,0,0.041733,-0.076860,1.472253,404.704803,-3029.368408,1040.799072
62,0,0.041666,-0.076522,1.472815,404.713928,-3029.408691,1040.751221
63,0,0.042613,-0.087126,1.478056,405.087006,-3029.948730,1040.510254
64,0,0.042646,-0.076517,1.473929,404.728333,-3029.579102,1040.768555
65,0,0.042743,-0.075871,1.474140,404.652222,-3029.645264,1040.756470
66,0,0.042889,-0.076626,1.474723,404.684082,-3029.761963,1040.803223
67,0,0.043567,-0.087538,1.480166,405.131042,-3030.382324,1040.558472
68,0,0.044351,-0.089090,1.480145,405.042633,-3030.470947,1040.547241
69,0,0.044237,-0.089446,1.480450,405.010193,-3030.578125,1040.571289
70,0,0.043742,-0.088391,1.481185,404.978241,-3030.745605,1040.636230
71,0,0.045564,-0.092103,1.481029,405.031860,-3030.933105,1040.721802
72,0,0.042473,-0.076810,1.476065,404.325256,-3030.441650,1040.906860
73,0,0.043623,-0.078585,1.476696,404.202820,-3030.591553,1040.927856
74,0,0.043207,-0.078884,1.476276,404.286377,-3030.759277,1040.978027
75,0,0.043446,-0.078501,1.476607,404.159637,-3030.919678,1040.957153
76,0,0.045592,-0.078315,1.474123,404.253784,-3031.194092,1040.877930
77,0,0.043706,-0.078383,1.476548,404.114380,-3031.215576,1040.919312
78,0,0.044158,-0.078934,1.476107,404.040253,-3031.358887,1040.966553
79,0,0.044572,-0.079438,1.476102,403.916748,-3031.461670,1040.977905
80,0,0.040342,-0.077248,1.477097,403.527466,-3031.187500,1040.956787
81,,,,,,,
82,0,0.070664,-0.127947,1.479163,403.756958,-3031.337158,1039.755737
83,0,0.070436,-0.125534,1.481137,403.738922,-3031.475586,1039.674561
84,0,0.047833,-0.079302,1.477741,403.727539,-3032.147217,1040.895874
85,0,0.048882,-0.080179,1.478203,403.622803,-3032.318604,1040.872070
